strain	transcript	ens_gene	ext_gene	expression	pSTR	str_genotype	genotype	STRallele
AB1	C05C8.9b.2	WBGene00015466	hyls-1	-0.835329307148621	STR_13083	STR length	16	REF
BRC20067	C05C8.9b.2	WBGene00015466	hyls-1	-0.764924089547386	STR_13083	STR length	16	REF
BRC20263	C05C8.9b.2	WBGene00015466	hyls-1	-0.865095730149351	STR_13083	STR length	16	REF
CB4852	C05C8.9b.2	WBGene00015466	hyls-1	-0.576335720885547	STR_13083	STR length	16	REF
CB4856	C05C8.9b.2	WBGene00015466	hyls-1	-0.517253630019435	STR_13083	STR length	16	REF
CX11254	C05C8.9b.2	WBGene00015466	hyls-1	-0.623654557521861	STR_13083	STR length	16	REF
CX11262	C05C8.9b.2	WBGene00015466	hyls-1	-0.702682787690495	STR_13083	STR length	16	REF
CX11264	C05C8.9b.2	WBGene00015466	hyls-1	-0.483178197960503	STR_13083	STR length	16	REF
CX11276	C05C8.9b.2	WBGene00015466	hyls-1	-0.684416516845741	STR_13083	STR length	16	REF
CX11292	C05C8.9b.2	WBGene00015466	hyls-1	-0.726353834686914	STR_13083	STR length	16	REF
CX11307	C05C8.9b.2	WBGene00015466	hyls-1	-0.704889958229911	STR_13083	STR length	16	REF
CX11314	C05C8.9b.2	WBGene00015466	hyls-1	-0.847996321379993	STR_13083	STR length	16	REF
CX11315	C05C8.9b.2	WBGene00015466	hyls-1	-0.773291319972052	STR_13083	STR length	16	REF
DL200	C05C8.9b.2	WBGene00015466	hyls-1	-0.803571410874111	STR_13083	STR length	16	REF
DL226	C05C8.9b.2	WBGene00015466	hyls-1	-0.914214821885883	STR_13083	STR length	16	REF
DL238	C05C8.9b.2	WBGene00015466	hyls-1	-0.588733306031149	STR_13083	STR length	16	REF
ECA189	C05C8.9b.2	WBGene00015466	hyls-1	-0.436355628679726	STR_13083	STR length	16	REF
CB4855	C05C8.9b.2	WBGene00015466	hyls-1	-0.768827904386463	STR_13083	STR length	16	REF
CB4857	C05C8.9b.2	WBGene00015466	hyls-1	-0.678478110394818	STR_13083	STR length	16	REF
CB4858	C05C8.9b.2	WBGene00015466	hyls-1	-0.932588197605706	STR_13083	STR length	16	REF
PB306	C05C8.9b.2	WBGene00015466	hyls-1	-0.856102818116781	STR_13083	STR length	16	REF
ECA348	C05C8.9b.2	WBGene00015466	hyls-1	-0.633805089391806	STR_13083	STR length	16	REF
ECA349	C05C8.9b.2	WBGene00015466	hyls-1	-0.753694532245364	STR_13083	STR length	16	REF
ECA372	C05C8.9b.2	WBGene00015466	hyls-1	-0.619749336362305	STR_13083	STR length	16	REF
ECA592	C05C8.9b.2	WBGene00015466	hyls-1	-0.813378521010577	STR_13083	STR length	16	REF
ECA594	C05C8.9b.2	WBGene00015466	hyls-1	-0.911555473658331	STR_13083	STR length	16	REF
ECA703	C05C8.9b.2	WBGene00015466	hyls-1	-0.915028860853325	STR_13083	STR length	16	REF
ECA710	C05C8.9b.2	WBGene00015466	hyls-1	-0.454509439191136	STR_13083	STR length	16	REF
ECA738	C05C8.9b.2	WBGene00015466	hyls-1	-0.621315948505716	STR_13083	STR length	16	REF
ECA777	C05C8.9b.2	WBGene00015466	hyls-1	-0.512818161020387	STR_13083	STR length	16	REF
ECA812	C05C8.9b.2	WBGene00015466	hyls-1	-0.609810196038095	STR_13083	STR length	16	REF
ED3005	C05C8.9b.2	WBGene00015466	hyls-1	-0.690767219130522	STR_13083	STR length	16	REF
ED3012	C05C8.9b.2	WBGene00015466	hyls-1	-0.733249595835462	STR_13083	STR length	16	REF
ED3048	C05C8.9b.2	WBGene00015466	hyls-1	-0.802817933425842	STR_13083	STR length	16	REF
ED3049	C05C8.9b.2	WBGene00015466	hyls-1	-0.644491186688356	STR_13083	STR length	16	REF
ED3052	C05C8.9b.2	WBGene00015466	hyls-1	-0.83041431980525	STR_13083	STR length	16	REF
ED3073	C05C8.9b.2	WBGene00015466	hyls-1	-0.493405568276124	STR_13083	STR length	16	REF
