transcript	pSTR	str_genotype	STR_var_exp	eQTL_Chr	eQTL_peak	eQTL_classification	eQTL_var_exp	LD	LD_level	nSTR_pheno
2RSSE.1b.1	STR_10352	STR genotype	0.11	II	14516794	Local eQTL	0.29	0.45	Moderate LD	3
2RSSE.1b.1	STR_10352	STR length	0.28	II	14516794	Local eQTL	0.29	0.45	Moderate LD	3
2RSSE.3	STR_10556	STR genotype	0.85	II	14884692	Local eQTL	0.85	1	High LD	2
2RSSE.3	STR_10660	STR length	0.84	II	14884692	Local eQTL	0.84	1	High LD	2
AC8.10.1	STR_27385	STR genotype	0.43	X	340119	Local eQTL	0.43	1	High LD	2
AC8.10.1	STR_27385	STR length	0.4	X	340119	Local eQTL	0.41	1	High LD	2
AC8.11.1	STR_27385	STR genotype	0.36	X	340119	Local eQTL	0.36	1	High LD	2
AC8.11.1	STR_27385	STR length	0.32	X	340119	Local eQTL	0.33	1	High LD	2
AC8.1	STR_27396	STR genotype	0.22	X	305933	Local eQTL	0.21	0.65	Moderate LD	2
AC8.1	STR_27396	STR length	0.22	X	305933	Local eQTL	0.21	0.65	Moderate LD	2
AC8.2	STR_27477	STR genotype	0.69	X	303837	Local eQTL	0.78	0.76	High LD	2
AC8.2	STR_27438	STR length	0.2	X	303837	Local eQTL	0.76	0.22	Low LD	3
AC8.4.1	STR_27385	STR genotype	0.45	X	340119	Local eQTL	0.45	1	High LD	2
AC8.4.1	STR_27385	STR length	0.4	X	340119	Local eQTL	0.42	1	High LD	2
AC8.5	STR_27385	STR genotype	0.28	X	305933	Local eQTL	0.36	0.39	Moderate LD	2
AC8.5	STR_27396	STR length	0.19	X	305933	Local eQTL	0.34	0.65	Moderate LD	2
AH10.4.1	STR_24894	STR length	0.15	V	13938211	Local eQTL	0.2	0.41	Moderate LD	2
AH6.3.1	STR_8310	STR genotype	0	II	9520225	Local eQTL	0.21	0.36	Moderate LD	3
AH6.3.1	STR_8310	STR length	0.11	II	9520225	Local eQTL	0.21	0.36	Moderate LD	3
B0025.1a.2	STR_2760	STR length	0.14	I	5489082	Local eQTL	0.26	0.27	Low LD	2
B0035.8.1	STR_19771	STR genotype	0.79	IV	10931703	Local eQTL	0.81	0.98	High LD	2
B0035.8.1	STR_19854	STR length	0.7	IV	10931703	Local eQTL	0.83	0.84	High LD	2
B0041.11.2	STR_2602	STR genotype	0.26	I	4686874	Local eQTL	0.31	0.91	High LD	2
B0041.11.2	STR_2602	STR length	0.26	I	4686874	Local eQTL	0.31	0.91	High LD	2
B0041.2b.1	STR_2602	STR genotype	0.22	I	4622776	Local eQTL	0.24	0.87	High LD	2
B0041.2b.1	STR_2602	STR length	0.22	I	4622776	Local eQTL	0.24	0.87	High LD	2
B0041.2e.1	STR_2602	STR genotype	0.79	I	4686874	Local eQTL	0.88	0.91	High LD	2
B0041.2e.1	STR_2602	STR length	0.79	I	4686874	Local eQTL	0.88	0.91	High LD	2
B0041.2e.2	STR_2602	STR genotype	0.52	I	4686874	Local eQTL	0.55	0.91	High LD	2
B0041.2e.2	STR_2602	STR length	0.52	I	4686874	Local eQTL	0.55	0.91	High LD	2
B0047.2	STR_6312	STR genotype	0.2	II	1677238	Local eQTL	0.61	0.17	Low LD	3
B0047.2	STR_6274	STR length	0.11	II	1677238	Local eQTL	0.57	0.08	Low LD	4
B0047.3.1	STR_6312	STR genotype	0.42	II	1677238	Local eQTL	0.21	0.17	Low LD	3
B0047.3.1	STR_6274	STR length	0.02	II	1677238	Local eQTL	0.2	0.08	Low LD	4
B0047.5	STR_6274	STR genotype	0.61	II	1739882	Local eQTL	0.89	0.65	Moderate LD	4
B0047.5	STR_6274	STR length	0.25	II	1739882	Local eQTL	0.86	0.55	Moderate LD	4
B0198.1.1	STR_30171	STR genotype	0.27	X	11893642	Local eQTL	0.26	0.9	High LD	2
B0198.1.1	STR_30171	STR length	0.27	X	11893642	Local eQTL	0.26	0.9	High LD	2
B0205.9.1	STR_3855	STR genotype	0.5	I	11312403	Local eQTL	0.44	0.72	High LD	2
B0205.9.1	STR_3855	STR length	0.5	I	11312403	Local eQTL	0.45	0.73	High LD	2
B0205.9.2	STR_3855	STR genotype	0.17	I	10398584	Local eQTL	0.15	0.84	High LD	2
B0205.9.2	STR_3855	STR length	0.17	I	10398584	Local eQTL	0.16	0.86	High LD	2
B0212.3.2	STR_17867	STR genotype	0.62	IV	3554139	Local eQTL	0.32	0.5	Moderate LD	2
B0212.3.2	STR_17867	STR length	0.62	IV	3554139	Local eQTL	0.32	0.49	Moderate LD	2
B0238.13b	STR_23485	STR genotype	0.28	V	5276186	Local eQTL	0.43	1	High LD	3
B0238.13b	STR_23507	STR length	0.42	V	5276186	Local eQTL	0.43	0.97	High LD	2
B0250.3	STR_27124	STR genotype	0.5	V	20485920	Local eQTL	0.54	0.85	High LD	2
