ext_gene	transcript	eSTR	log10p	STR_pheno
rga-9	2RSSE.1b.1	STR_10336	9.49646804899191	STR genotype
rga-9	2RSSE.1b.1	STR_10342	7.97104814756938	STR genotype
rga-9	2RSSE.1b.1	STR_10347	8.5232742002748	STR genotype
rga-9	2RSSE.1b.1	STR_10350	10.9483699332545	STR genotype
rga-9	2RSSE.1b.1	STR_10352	13.3512974533492	STR genotype
rga-9	2RSSE.1b.1	STR_10353	11.1869104904592	STR genotype
rga-9	2RSSE.1b.1	STR_10357	11.1108465597458	STR genotype
rga-9	2RSSE.1b.1	STR_10358	8.65499593038917	STR genotype
rga-9	2RSSE.1b.1	STR_10370	8.51189073135878	STR genotype
rga-9	2RSSE.1b.1	STR_10387	11.5430388536349	STR genotype
rga-9	2RSSE.1b.1	STR_10418	11.7138401569571	STR genotype
rga-9	2RSSE.1b.1	STR_10438	7.90003744150526	STR genotype
rga-9	2RSSE.1b.1	STR_10556	11.3023784837255	STR genotype
rga-9	2RSSE.1b.1	STR_10604	13.1061610956901	STR genotype
rga-9	2RSSE.1b.1	STR_10650	10.7217267066194	STR genotype
rga-9	2RSSE.1b.1	STR_10660	12.2145320671594	STR genotype
rga-9	2RSSE.1b.1	STR_10664	11.489897037565	STR genotype
rga-9	2RSSE.1b.1	STR_10336	9.49646804899191	STR length
rga-9	2RSSE.1b.1	STR_10352	13.3512974533492	STR length
rga-9	2RSSE.1b.1	STR_10357	10.3187407952446	STR length
rga-9	2RSSE.1b.1	STR_10358	7.63155700255737	STR length
rga-9	2RSSE.1b.1	STR_10387	9.65176832857834	STR length
rga-9	2RSSE.1b.1	STR_10418	11.7138401569572	STR length
rga-9	2RSSE.1b.1	STR_10604	13.1061610956901	STR length
rga-9	2RSSE.1b.1	STR_10650	7.63149392858473	STR length
rga-9	2RSSE.1b.1	STR_10660	12.2145320671594	STR length
rga-9	2RSSE.1b.1	STR_10664	12.376744362352	STR length
2RSSE.3	2RSSE.3	STR_10333	7.85732066825525	STR genotype
2RSSE.3	2RSSE.3	STR_10336	57.7481711644964	STR genotype
2RSSE.3	2RSSE.3	STR_10342	27.2147064320092	STR genotype
2RSSE.3	2RSSE.3	STR_10347	57.7198431737913	STR genotype
2RSSE.3	2RSSE.3	STR_10350	66.6029758825693	STR genotype
2RSSE.3	2RSSE.3	STR_10352	61.7657210148101	STR genotype
2RSSE.3	2RSSE.3	STR_10353	66.7073541546185	STR genotype
2RSSE.3	2RSSE.3	STR_10357	58.572517996934	STR genotype
2RSSE.3	2RSSE.3	STR_10358	63.5589262885496	STR genotype
2RSSE.3	2RSSE.3	STR_10364	9.10144269952054	STR genotype
2RSSE.3	2RSSE.3	STR_10367	16.0576687904753	STR genotype
2RSSE.3	2RSSE.3	STR_10370	54.7577068075179	STR genotype
2RSSE.3	2RSSE.3	STR_10377	8.29694675636421	STR genotype
2RSSE.3	2RSSE.3	STR_10387	46.4857208001575	STR genotype
2RSSE.3	2RSSE.3	STR_10409	15.6170173164755	STR genotype
2RSSE.3	2RSSE.3	STR_10418	65.4948112009245	STR genotype
2RSSE.3	2RSSE.3	STR_10438	35.0317938216122	STR genotype
2RSSE.3	2RSSE.3	STR_10470	17.5803690683829	STR genotype
2RSSE.3	2RSSE.3	STR_10478	12.9184068429528	STR genotype
2RSSE.3	2RSSE.3	STR_10490	8.30297380218823	STR genotype
2RSSE.3	2RSSE.3	STR_10503	19.01281790598	STR genotype
2RSSE.3	2RSSE.3	STR_10518	11.6110886011572	STR genotype
2RSSE.3	2RSSE.3	STR_10531	10.7326841115947	STR genotype
2RSSE.3	2RSSE.3	STR_10543	13.5998858798276	STR genotype
2RSSE.3	2RSSE.3	STR_10556	77.7582535625603	STR genotype
2RSSE.3	2RSSE.3	STR_10604	72.3888960334152	STR genotype
2RSSE.3	2RSSE.3	STR_10606	7.8540233531736	STR genotype
2RSSE.3	2RSSE.3	STR_10628	10.0206901258724	STR genotype
2RSSE.3	2RSSE.3	STR_10650	77.702509352466	STR genotype
2RSSE.3	2RSSE.3	STR_10660	77.7324313060864	STR genotype
2RSSE.3	2RSSE.3	STR_10664	63.654884918948	STR genotype
2RSSE.3	2RSSE.3	STR_10700	9.34896430338813	STR genotype
2RSSE.3	2RSSE.3	STR_10713	10.2165153972441	STR genotype
2RSSE.3	2RSSE.3	STR_10336	57.7481711644964	STR length
2RSSE.3	2RSSE.3	STR_10352	61.76572101481	STR length
2RSSE.3	2RSSE.3	STR_10357	56.3098682903697	STR length
2RSSE.3	2RSSE.3	STR_10358	59.1788256677848	STR length
2RSSE.3	2RSSE.3	STR_10370	15.6845457763114	STR length
2RSSE.3	2RSSE.3	STR_10377	9.01020204531357	STR length
2RSSE.3	2RSSE.3	STR_10387	19.2727411034811	STR length
2RSSE.3	2RSSE.3	STR_10409	16.1194571416182	STR length
2RSSE.3	2RSSE.3	STR_10418	65.4948112009245	STR length
2RSSE.3	2RSSE.3	STR_10438	28.0654262460159	STR length
2RSSE.3	2RSSE.3	STR_10470	17.5803690683829	STR length
2RSSE.3	2RSSE.3	STR_10490	8.41305278423996	STR length
2RSSE.3	2RSSE.3	STR_10503	9.7619319450674	STR length
2RSSE.3	2RSSE.3	STR_10518	12.2068892967198	STR length
